"scenario_id","estimator","formula_id","n_replicates","n_converged","bias","mse","power","mean_estimate","mean_se","allocation","K","n","covariate_distribution"
"main_3to1_K30_n020_normal","target_only","misspecified",1,1,-0.105223229548574,0.0110719280366318,1,1.89477677045143,0.644797911978429,"3to1",30,20,"normal"
"main_3to1_K30_n020_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"normal"
"main_3to1_K30_n020_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"normal"
"main_3to1_K30_n020_normal","target_only","correct",1,1,0.652944965908668,0.426337128505472,1,2.65294496590867,0.625851563511929,"3to1",30,20,"normal"
"main_3to1_K30_n020_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"normal"
"main_3to1_K30_n020_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"normal"
"main_4to0_K30_n020_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",30,20,"normal"
"main_4to0_K30_n020_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",30,20,"normal"
"main_4to0_K30_n020_normal","meta_regression","misspecified",1,1,0.614817515344075,0.378000577173862,1,2.61481751534407,0.306676973535002,"4to0",30,20,"normal"
"main_4to0_K30_n020_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",30,20,"normal"
"main_4to0_K30_n020_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",30,20,"normal"
"main_4to0_K30_n020_normal","meta_regression","correct",1,1,0.0842521765007191,0.00709842924510833,1,2.08425217650072,0.394833729803239,"4to0",30,20,"normal"
"main_1to1_K05_n040_normal","target_only","misspecified",1,1,0.103195964723342,0.0106494071351813,1,2.10319596472334,0.413198616433474,"1to1",5,40,"normal"
"main_1to1_K05_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,40,"normal"
"main_1to1_K05_n040_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,40,"normal"
"main_1to1_K05_n040_normal","target_only","correct",1,1,0.242935310397504,0.0590175650379317,1,2.2429353103975,0.285707722286516,"1to1",5,40,"normal"
"main_1to1_K05_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,40,"normal"
"main_1to1_K05_n040_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,40,"normal"
"main_3to1_K05_n040_normal","target_only","misspecified",1,1,-0.000621726367799447,3.86543676417093e-07,1,1.9993782736322,0.540267908772307,"3to1",5,40,"normal"
"main_3to1_K05_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,40,"normal"
"main_3to1_K05_n040_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,40,"normal"
"main_3to1_K05_n040_normal","target_only","correct",1,1,0.0343490563515987,0.0011798576722453,1,2.0343490563516,0.494814286086712,"3to1",5,40,"normal"
"main_3to1_K05_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,40,"normal"
"main_3to1_K05_n040_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,40,"normal"
"main_4to0_K05_n040_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,40,"normal"
"main_4to0_K05_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,40,"normal"
"main_4to0_K05_n040_normal","meta_regression","misspecified",1,1,0.594006340324127,0.352843532345263,1,2.59400634032413,0.807262436327328,"4to0",5,40,"normal"
"main_4to0_K05_n040_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,40,"normal"
"main_4to0_K05_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,40,"normal"
"main_4to0_K05_n040_normal","meta_regression","correct",1,1,0.0264318214979493,0.000698641187699456,1,2.02643182149795,0.673333168969565,"4to0",5,40,"normal"
"main_1to1_K10_n040_normal","target_only","misspecified",1,1,0.642907432911749,0.413329967293175,1,2.64290743291175,0.396465167595837,"1to1",10,40,"normal"
"main_1to1_K10_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,40,"normal"
"main_1to1_K10_n040_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,40,"normal"
"main_1to1_K10_n040_normal","target_only","correct",1,1,0.796666655989623,0.634677760765689,1,2.79666665598962,0.322601860096922,"1to1",10,40,"normal"
"main_1to1_K10_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,40,"normal"
"main_1to1_K10_n040_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,40,"normal"
"main_3to1_K10_n040_normal","target_only","misspecified",1,1,0.381357213562295,0.145433324335998,1,2.3813572135623,0.426522852427434,"3to1",10,40,"normal"
"main_3to1_K10_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",10,40,"normal"
