"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_1to1_K30_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K30_n020_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K30_n020_normal",1,"target_only","misspecified",1.89477677045143,0.644797911978429,0.540106625674544,3.24944691522831,TRUE,""
"main_3to1_K30_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K30_n020_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K30_n020_normal",1,"target_only","correct",2.65294496590867,0.625851563511929,1.32619891989382,3.97969101192351,TRUE,""
"main_3to1_K30_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K30_n020_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K30_n020_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K30_n020_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K30_n020_normal",1,"meta_regression","misspecified",2.61481751534407,0.306676973535002,2.01374169232773,3.21589333836042,TRUE,""
"main_4to0_K30_n020_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K30_n020_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K30_n020_normal",1,"meta_regression","correct",2.08425217650072,0.394833729803239,1.31039228620475,2.85811206679669,TRUE,""
"main_1to1_K05_n040_normal",1,"target_only","misspecified",2.10319596472334,0.413198616433474,1.26671909707892,2.93967283236777,TRUE,""
"main_1to1_K05_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n040_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K05_n040_normal",1,"target_only","correct",2.2429353103975,0.285707722286516,1.66349319279443,2.82237742800058,TRUE,""
"main_1to1_K05_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
